Document_Code,Document_Name,Attribute_Code,Attribute_Name,Display_Order,Data_Type,Enum_Mapping,Encryption,ISIR_Field_to_Correct,Additional_Resolution_Action,Aid_Year,Is_Required_,Subtype,Field_Start_Date,Field_End_Date,Prev_Document_Code,Prev_Attribute_Code
"FA-1040X","1040X Tax Form","AC137","Tax Form","4","Enumeration","1040,1040A/EZ,U.S. Territory Tax Return,Foreign Tax Return,1040A,1040EZ","FALSE","INTERNAL USE","return true;","2015-2016","0","","","","",""
"FA-1040X","1040X Tax Form","AC154","Taxes Paid","9","Double","","FALSE","INTERNAL USE","return true;","2015-2016","0","","","","",""
"FA-1040X","1040X Tax Form","AC172","Untaxable Credits","7","Double","","FALSE","INTERNAL USE","return true;","2015-2016","0","","","","",""
"FA-1040X","1040X Tax Form","AC176","Tax Payer ID (SSN) - 1","1","String","","FALSE","INTERNAL USE","return true;","2015-2016","1","","","","",""
"FA-1040X","1040X Tax Form","AC177","Tax Payer ID (SSN) - 2","2","String","","FALSE","INTERNAL USE","return true;","2015-2016","0","","","","",""
"FA-1040X","1040X Tax Form","AC135","Tax Calendar Year","3","Enumeration","2015,2016","FALSE","INTERNAL USE","return true;","2015-2016","1","","","","",""
"FA-1040X","1040X Tax Form","AC178","Did exemptions change in the explanation of changes?","8","Enumeration","Yes,No","FALSE","INTERNAL USE","return true;","2015-2016","0","","","","",""
"FA-1040X","1040X Tax Form","AC2","Adjusted Gross Income","6","Double","","FALSE","INTERNAL USE","return true;","2015-2016","0","","","","",""
"FA-1040X","1040X Tax Form","AC58","Filing Status","5","Enumeration","Head of Household,Married Filing Joint,Married Filing Separate,Qualifying Widow,Single","FALSE","INTERNAL USE","return true;","2015-2016","1","","","","",""
"FA-1099G","1099G Tax Form","AC109","Social Security Number","1","String","","FALSE","INTERNAL USE","return true;","2015-2016","1","","","","",""
